id;job_id;job_title;min_salary;max_salary
1;64690;Global Program Coordinator;95887;49592
2;11660;Internal Quality Strategist;60283;84974
3;14348;Product Markets Orchestrator;75953;13628
4;63765;Lead Division Supervisor;36232;91153
5;63563;International Applications Officer;15212;26854
6;75172;Senior Data Executive;77867;47774
7;81983;National Identity Supervisor;50373;50561
8;44097;Dynamic Identity Officer;43568;84380
9;84104;Forward Brand Administrator;34575;73927
10;47964;Dynamic Integration Orchestrator;88722;44752
